station_name,station_no,year,month,day,hour,date,dir,speed,rh,temp,rainfall,solar,
JohnstownII,1775,2017,7,2,0,02-jul-2017 00:00:00,30,5,78,13.0,0.0,0.0,
JohnstownII,1775,2017,7,2,1,02-jul-2017 01:00:00,18,2,88,11.1,0.0,0.0,
JohnstownII,1775,2017,7,2,2,02-jul-2017 02:00:00,32,1,91,10.1,0.0,0.0,
JohnstownII,1775,2017,7,2,3,02-jul-2017 03:00:00,31,6,90,10.4,0.0,0.0,
JohnstownII,1775,2017,7,2,4,02-jul-2017 04:00:00,27,5,95,9.2,0.0,6.9,
JohnstownII,1775,2017,7,2,5,02-jul-2017 05:00:00,28,3,93,9.5,0.0,43.9,
JohnstownII,1775,2017,7,2,6,02-jul-2017 06:00:00,28,2,89,11.6,0.0,98.4,
JohnstownII,1775,2017,7,2,7,02-jul-2017 07:00:00,24,1,78,14.0,0.0,133.6,
JohnstownII,1775,2017,7,2,8,02-jul-2017 08:00:00,18,4,79,13.7,0.0,198.9,
JohnstownII,1775,2017,7,2,9,02-jul-2017 09:00:00,19,4,73,14.5,0.0,203.6,
JohnstownII,1775,2017,7,2,10,02-jul-2017 10:00:00,19,5,69,15.5,0.0,269.0,
JohnstownII,1775,2017,7,2,11,02-jul-2017 11:00:00,21,7,70,16.4,0.0,293.2,
JohnstownII,1775,2017,7,2,12,02-jul-2017 12:00:00,21,9,68,16.2,0.0,325.4,
JohnstownII,1775,2017,7,2,13,02-jul-2017 13:00:00,20,12,68,15.8,0.0,310.1,
JohnstownII,1775,2017,7,2,14,02-jul-2017 14:00:00,21,14,75,15.5,0.0,298.0,
JohnstownII,1775,2017,7,2,15,02-jul-2017 15:00:00,22,13,73,15.5,0.0,268.5,
JohnstownII,1775,2017,7,2,16,02-jul-2017 16:00:00,22,15,75,15.4,0.0,205.7,
JohnstownII,1775,2017,7,2,17,02-jul-2017 17:00:00,23,14,78,15.1,0.0,124.6,
JohnstownII,1775,2017,7,2,18,02-jul-2017 18:00:00,22,13,83,14.2,0.0,51.9,
JohnstownII,1775,2017,7,2,19,02-jul-2017 19:00:00,22,9,87,14.1,0.0,23.0,
JohnstownII,1775,2017,7,2,20,02-jul-2017 20:00:00,23,11,89,13.8,0.0,5.8,
JohnstownII,1775,2017,7,2,21,02-jul-2017 21:00:00,23,13,91,13.8,0.0,0.0,
JohnstownII,1775,2017,7,2,22,02-jul-2017 22:00:00,23,12,93,13.9,0.0,0.0,
JohnstownII,1775,2017,7,2,23,02-jul-2017 23:00:00,23,10,96,14.1,0.0,0.0,
JohnstownII,1775,2017,7,3,0,03-jul-2017 00:00:00,24,10,98,14.2,0.0,0.0,
JohnstownII,1775,2017,7,3,1,03-jul-2017 01:00:00,24,7,98,14.2,0.0,0.0,
JohnstownII,1775,2017,7,3,2,03-jul-2017 02:00:00,24,8,98,14.0,0.0,0.0,
JohnstownII,1775,2017,7,3,3,03-jul-2017 03:00:00,24,7,98,13.7,0.0,0.0,
JohnstownII,1775,2017,7,3,4,03-jul-2017 04:00:00,24,6,98,13.5,0.0,3.4,
JohnstownII,1775,2017,7,3,5,03-jul-2017 05:00:00,26,6,98,13.8,0.0,21.8,
JohnstownII,1775,2017,7,3,6,03-jul-2017 06:00:00,25,7,95,14.4,0.0,50.1,
JohnstownII,1775,2017,7,3,7,03-jul-2017 07:00:00,25,5,88,15.2,0.0,1.2,
JohnstownII,1775,2017,7,3,8,03-jul-2017 08:00:00,,,,,,,
JohnstownII,1775,2017,7,3,9,03-jul-2017 09:00:00,,,,,,,
JohnstownII,1775,2017,7,3,10,03-jul-2017 10:00:00,,,,,,,
JohnstownII,1775,2017,7,3,11,03-jul-2017 11:00:00,,,,,,,
JohnstownII,1775,2017,7,3,12,03-jul-2017 12:00:00,,,,,,,
JohnstownII,1775,2017,7,3,13,03-jul-2017 13:00:00,,,,,,,
JohnstownII,1775,2017,7,3,14,03-jul-2017 14:00:00,,,,,,,
JohnstownII,1775,2017,7,3,15,03-jul-2017 15:00:00,,,,,,,
JohnstownII,1775,2017,7,3,16,03-jul-2017 16:00:00,,,,,,,
JohnstownII,1775,2017,7,3,17,03-jul-2017 17:00:00,,,,,,,
JohnstownII,1775,2017,7,3,18,03-jul-2017 18:00:00,,,,,,,
JohnstownII,1775,2017,7,3,19,03-jul-2017 19:00:00,,,,,,,
JohnstownII,1775,2017,7,3,20,03-jul-2017 20:00:00,,,,,,,
JohnstownII,1775,2017,7,3,21,03-jul-2017 21:00:00,,,,,,,
JohnstownII,1775,2017,7,3,22,03-jul-2017 22:00:00,,,,,,,
JohnstownII,1775,2017,7,3,23,03-jul-2017 23:00:00,,,,,,,
This file contains PROVISIONAL hourly synoptic data and is subject to change once fully quality controlled. Contact keith.lambkin@met.ie for queries.
